Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
35,35,15-May,@,DET,L1-5,33,31,1,4,0,0,1,1,2,0,16,0,0,0,0,0,0,0,0.228,0.302,0.344,0.647,5,10,L,T.Skubal(75)
36,36,16-May,,NYY,L2-6,32,29,2,3,0,0,2,2,2,0,11,1,0,0,1,1,0,0,0.225,0.3,0.343,0.643,3,9,R,L.Severino(71)
37,37,17-May,,NYY,L4-5,37,35,4,9,3,0,1,4,1,0,9,0,0,1,1,1,1,0,0.226,0.299,0.346,0.645,6,11,R,J.Taillon(44)
38,38,18-May,,NYY,L2-3,33,33,2,7,2,0,0,2,0,0,6,0,0,0,0,1,0,0,0.226,0.297,0.344,0.641,4,9,R,G.Cole(62)
39,39,19-May,,NYY,W9-6,40,35,9,11,2,0,2,9,3,0,8,0,0,1,1,1,1,0,0.228,0.298,0.349,0.648,6,11,L,J.Montgomery(44)
40,40,20-May,,TBR,W8-6,53,47,8,11,2,0,1,6,4,1,11,1,1,0,2,1,0,0,0.228,0.299,0.349,0.648,12,12,L,J.Beeks(54)
41,41,21-May,,TBR,L1-6,36,32,1,6,0,2,0,1,4,0,11,0,0,0,0,1,0,0,0.227,0.298,0.348,0.646,8,9,L,J.Springs(70)
42,42,22-May,,TBR,W7-6,52,44,7,10,2,0,1,6,6,1,7,1,1,0,3,0,1,0,0.227,0.299,0.348,0.647,16,13,R,C.Kluber(41)
43,43,23-May,@,NYY,W6-4,37,36,6,10,2,0,1,6,0,0,11,0,0,1,0,0,1,0,0.229,0.299,0.35,0.648,4,10,R,G.Cole(57)
44,44,24-May,@,NYY,L6-7,41,40,6,7,1,0,2,6,1,0,8,0,0,0,0,0,1,0,0.227,0.296,0.35,0.646,4,10,L,J.Montgomery(61)
45,45,25-May,@,NYY,L0-2,36,33,0,5,0,0,0,0,3,0,11,0,0,0,0,0,1,0,0.226,0.295,0.345,0.64,9,10,L,J.Sears(64)
46,46,27-May,@,BOS,W12-8,45,40,12,15,1,0,3,10,4,0,6,0,0,1,0,1,0,0,0.229,0.298,0.352,0.65,6,11,R,G.Whitlock(57)
47,47,May 28 (1),@,BOS,L3-5,33,32,3,7,1,0,1,3,1,0,6,0,0,0,1,3,1,0,0.229,0.297,0.352,0.649,3,9,R,N.Eovaldi(68)
48,48,May 28 (2),@,BOS,W4-2,38,34,4,7,1,0,1,4,4,0,7,0,0,0,1,1,2,0,0.229,0.297,0.352,0.648,7,9,R,J.Winckowski(32)
